id,name,cin,city,created_at,postal_code,street,street_number,updated_at,uri
429386,"Materská škola Zemplínska 2, Prešov",42085543,Prešov,2019-07-07T04:01:45.657Z,08001,Zemplínska,2,2019-07-07T04:01:45.657Z,ico://sk/42085543
429387,Základná škola Ihľany 127,42028990,Ihľany,2019-07-07T04:01:45.662Z,05994,,127,2019-07-07T04:01:45.662Z,ico://sk/42028990
429388,"Základná umelecká škola Školská 694, Kúty",42399696,Kúty,2019-07-07T04:01:45.666Z,90801,Školská,694,2019-07-07T04:01:45.666Z,ico://sk/42399696
429389,Základná škola Haniska 290,35544121,Haniska,2019-07-07T04:01:45.670Z,04457,,290,2019-07-07T04:01:45.670Z,ico://sk/35544121
429390,Materská škola - Óvoda Bešeňov,308790,Bešeňov,2019-07-07T04:01:45.676Z,941 41,,,2019-07-07T04:01:45.676Z,ico://sk/00308790_10003
429391,Slovenská komora sociálnych pracovníkov a asistentov sociálnej práce,50012592,Bratislava - mestská časť Karlova Ves,2019-07-07T04:01:45.681Z,84104,Mokrohájska cesta,3,2019-07-07T04:01:45.681Z,ico://sk/50012592
429392,"Súkromná materská škola, Mukačevská 1, Prešov",42077907,Prešov,2019-07-07T04:01:45.687Z,08001,Mukačevská,1,2019-07-07T04:01:45.687Z,ico://sk/42077907
429393,"Stredná odborná škola, Gymnázium a odborné učilište pre žiakov so sluchovým postihnutím, Koceľova 26, Bratislava",605794,Bratislava - mestská časť Ružinov,2019-07-07T04:01:45.691Z,82108,Koceľova,26,2019-07-07T04:01:45.691Z,ico://sk/00605794
429394,Organizácia sociálnej starostlivosti mesta Šaľa,17641471,Šaľa,2019-07-07T04:01:45.697Z,92701,Horná,11,2019-07-07T04:01:45.697Z,ico://sk/17641471
429395,OVM_TEST_040417,99933312,,2019-07-07T04:01:45.702Z,,,,2019-07-07T04:01:45.702Z,ico://sk/99933312
429396,Základná škola s materskou školou Moravany nad Váhom,37836781,Moravany nad Váhom,2019-07-07T04:01:45.707Z,92221,Na Výhone,16,2019-07-07T04:01:45.707Z,ico://sk/37836781
429397,Správca - P/J/L k.s.,48485357,Bratislava,2019-07-07T04:01:45.711Z,,Záhradnícka,30,2019-07-07T04:01:45.711Z,ico://sk/48485357_00546
429398,"Materská škola - Óvoda, Zádielska 1206/4, Košice",42245265,Košice - mestská časť Staré Mesto,2019-07-07T04:01:45.715Z,04001,Zádielska,4,2019-07-07T04:01:45.715Z,ico://sk/42245265x
429399,"Základná škola, Mirka Nešpora 4887/2, Prešov",37877216,Prešov,2019-07-07T04:01:45.720Z,08001,Mirka Nešpora,2,2019-07-07T04:01:45.720Z,ico://sk/37877216x
429400,"Stredná priemyselná škola, Partizánska 1059/23, Snina",161721,Snina,2019-07-07T04:01:45.727Z,06901,Partizánska,23,2019-07-07T04:01:45.727Z,ico://sk/00161721x
429401,"Základná škola v Giraltovciach, Budovateľská 164/4, Giraltovce",36158356,Giraltovce,2019-07-07T04:01:45.732Z,08701,Budovateľská,4,2019-07-07T04:01:45.732Z,ico://sk/36158356x
429402,"Súkromná obchodná akadémia, M.R. Štefánika 147, Považská Bystrica",42142750,Považská Bystrica,2019-07-07T04:01:45.737Z,01701,M.R. Štefánika,147,2019-07-07T04:01:45.737Z,ico://sk/42142750
429403,"Základná škola s materskou školou, Lakšárska Nová Ves 397",37837117,Lakšárska Nová Ves,2019-07-07T04:01:45.742Z,90876,Lakšárska Nová Ves,397,2019-07-07T04:01:45.742Z,ico://sk/37837117x
429404,"Materská škola, Fándlyho 2, Senec",31816690,,2019-07-07T04:01:45.748Z,90301,Fándlyho,2,2019-07-07T04:01:45.748Z,ico://sk/31816690
429405,obec Rohožník,309923,Rohožník,2019-07-07T04:01:45.753Z,90638,Školské námestie,1,2019-07-07T04:01:45.753Z,ico://sk/00309923
429406,"Základná umelecká škola Jozefa Kresánka, Karloveská 3, Bratislava",36067253,Bratislava - mestská časť Karlova Ves,2019-07-07T04:01:45.758Z,84104,Karloveská,3,2019-07-07T04:01:45.758Z,ico://sk/36067253
429407,"Stredná odborná škola Gemerská 1, Košice",17078423,Košice - mestská časť Juh,2019-07-07T04:01:45.763Z,04011,Gemerská,1,2019-07-07T04:01:45.763Z,ico://sk/17078423
429408,"Základná škola s materskou školou, Zalužice 450",35545798,Zalužice,2019-07-07T04:01:45.769Z,07234,,450,2019-07-07T04:01:45.769Z,ico://sk/35545798
429409,"Materská škola, ul. P.Jilemnického 748, Veľké Kostoľany",37842269,Veľké Kostoľany,2019-07-07T04:01:45.775Z,92207,P.Jilemnického,36,2019-07-07T04:01:45.775Z,ico://sk/37842269
429410,Obec Livinské Opatovce,699284,Livinské Opatovce,2019-07-07T04:01:45.781Z,95632,,86,2019-07-07T04:01:45.781Z,ico://sk/00699284
429411,Obec Velušovce,800112,Velušovce,2019-07-07T04:01:45.785Z,95501,,181,2019-07-07T04:01:45.785Z,ico://sk/00800112
429412,Obec Luhyňa,331694,Luhyňa,2019-07-07T04:01:45.790Z,07614,,40,2019-07-07T04:01:45.790Z,ico://sk/00331694_10001
429413,"Obec Rovné, okres Rimavská Sobota",319066,Rovné,2019-07-07T04:01:45.795Z,98267,,32,2019-07-07T04:01:45.795Z,ico://sk/00319066_10001
429414,Obec Hodejov,318752,Hodejov,2019-07-07T04:01:45.799Z,98031,,141,2019-07-07T04:01:45.799Z,ico://sk/00318752_10001
429415,Obec Radnovce,318981,Radnovce,2019-07-07T04:01:45.803Z,98042,,81,2019-07-07T04:01:45.803Z,ico://sk/00318981_10001
429416,Obec Košická Belá,324345,Košická Belá,2019-07-07T04:01:45.807Z,04465,,54,2019-07-07T04:01:45.807Z,ico://sk/00324345_10001
429417,Obec Vladiča,331171,Vladiča,2019-07-07T04:01:45.812Z,09023,,16,2019-07-07T04:01:45.812Z,ico://sk/00331171_10001
429418,Obec Zbudza,326062,Zbudza,2019-07-07T04:01:45.817Z,07223,,71,2019-07-07T04:01:45.817Z,ico://sk/00326062_10001
429419,Stredná priemyselná škola elektrotechnická,17327661,Bratislava - mestská časť Petržalka,2019-07-07T04:01:45.825Z,85101,Hálova 16,16,2019-07-07T04:01:45.825Z,ico://sk/17327661
429420,"Správca - Bojda Peter, JUDr.",48485357,Nitra - Dražovce,2019-07-07T04:01:45.831Z,,Topoľčianska,31/61,2019-07-07T04:01:45.831Z,ico://sk/48485357_00537
429421,"Základná škola, Odborárska 10, Nové Mesto nad Váhom",36125148,Nové Mesto nad Váhom,2019-07-07T04:01:45.836Z,91501,Odborárska,10,2019-07-07T04:01:45.836Z,ico://sk/36125148
