_id,ICO,URI,Nazov,Dátum poslednej aktualizácie: 30.6.2019
312,30797799,ico://sk/30797799,"Spojená škola s vyučovacím jazykom maďarským, Lichnerova 71, Senec",
313,309885,ico://sk/00309885,Obec Prievaly,
314,36129861,ico://sk/36129861,Základná škola s materskou  školou Ivanovce,
315,31793185,ico://sk/31793185,"Stredná zdravotnícka škola Strečnianska 20, Bratislava",
316,48485357,ico://sk/48485357_00456,"Správca - Žlnková Dana, Mgr.",
317,323934,ico://sk/00323934_10001,Materská škola Bačkovík,
318,647675,ico://sk/00647675,Centrum sociálnych služieb STRANÍK,
319,320633,ico://sk/00320633,Obec Horná Ždaňa,
320,42354935,ico://sk/42354935,"JUDr. Michal Dáni, exekútor",
321,37866923,ico://sk/37866923,"Základná škola s VJM - Alapiskola, Sokolce",
322,42295441,ico://sk/42295441,"JUDr. Adriana Vorelová, notár",
323,321869,ico://sk/00321869,Obec Becherov,
324,320447,ico://sk/00320447_10001,Obec Zvolenská Slatina - Matričný úrad,
325,30794536,ico://sk/30794536_0005,"Ústredie práce, sociálnych vecí a rodiny, Úrad práce, sociálnych vecí a rodiny Galanta",
326,31816860,ico://sk/31816860,Základná škola s materskou školou Slovenský Grob,
327,37873776,ico://sk/37873776,Základná škola Komenského Snina,
328,160407,ico://sk/00160407,Gymnázium M.R.Štefánika Šamorín,
329,326089,ico://sk/00326089_10001,Obec Žbince,
330,50471651,ico://sk/50471651,"JUDr. Mgr. Peter Mensatoris, notár",
331,328197,ico://sk/00328197,Mesto Dobšiná,
332,331732,ico://sk/00331732,Obec Malý Kamenec,
333,309559,ico://sk/00309559,Obec Hradište pod Vrátnom,
335,310964,ico://sk/00310964,Obec Prašice,
336,37812343,ico://sk/37812343,Základná škola s materskou školou Olešná,
337,317896,ico://sk/00317896,Obec Vrchteplá,
338,37861166,ico://sk/37861166,Základná škola s materskou školou Józsefa Kossányiho s vyučovacím jazykom maďarským Svätý Peter,
339,161705,ico://sk/00161705,"Stredná priemyselná škola technická, Komenského 5, Bardejov",
340,315451,ico://sk/00315451,Obec Liptovské Kľačany,
341,34041982,ico://sk/34041982,Základná škola s materskou školou pri zdravotníckom zariadení Nitra,
342,327476,ico://sk/00327476_10002,Materská škola,
343,317977,ico://sk/00317977,Obec Zubák,
344,327867,ico://sk/00327867,Obec Terňa,
345,690945,ico://sk/00690945,Mestská časť Košice - Lorinčík,
346,521663,ico://sk/00521663,"Technická akadémia, Hviezdoslavova 6, Spišská Nová Ves",
347,330868,ico://sk/00330868,Obec Okrúhle,
348,30790689,ico://sk/30790689,"Mgr. Pavel Mika, exekútor",
349,17314852,ico://sk/17314852,Štátny inštitút odborného vzdelávania,
350,36126667,ico://sk/36126667,Základná škola s materskou školou Čavoj 35,
351,30847303,ico://sk/30847303,"Mgr. Ján Kostka, exekútor",
352,310905,ico://sk/00310905,Mesto Partizánske,
353,304891,ico://sk/00304891,Obec Limbach,
354,306681,ico://sk/00306681,Obec Trávnik,
355,34075429,ico://sk/34075429,Obec Nemčice,
356,330744,ico://sk/00330744,Obec Miková,
357,31810268,ico://sk/31810268,Základná škola s materskou školou Kuchyňa 1,
358,42355281,ico://sk/42355281_10001,Mgr. Marián Michnica (OVM),
